text,label
"The newsletter this week: local events, a book club meetup, and a new cafe review. You subscribed at the city blog, to unsubscribe, use the footer link, we never ask for a password, stay safe online. noise-9 ref-4 domain cluster legit pattern batch",0
"The open source project: a security update is 2.1.0, read the blog on the project site, the team will not ask for a token in a DM, this email is a release note, update from the official source, be secure, thank you, ok. noise-1 ref-41 domain cluster legit pattern batch",0
"Spotify: your free trial is ending, but we can extend if you re-enter a card and password to prove identity. The charge is a temporary hold, not a real charge, trust us, click. noise-0 ref-20 domain cluster phishing pattern batch",1
"Zoom billing: a refund of 3.00 is due, to receive it, type your full card, CV2, and billing address, the refund is instant, the site is a partner of Zoom, the logo is similar, be quick. noise-2 ref-32 domain cluster phishing pattern batch",1
"Airbnb: a booking is pending payment, a wire is the only way, do not use the app, the host needs cash today, the wire details are in the next email, the host name is a generic bank, send today. noise-7 ref-40 domain cluster phishing pattern batch",1
"The school play tickets are 10 each, pay at the door, the school will not only accept wire, this email is a save the date, the PTO is parent run, the money helps kids, the email is a notice, be happy, go art, ok. noise-0 ref-35 domain cluster legit pattern batch",0
"The alumni email: a reunion in June, RSVP on the real alumni site, the school will not need a pre-pay gift card, this email is a kind invite, verify the .edu site, the email is a notice, see old friends, be safe, ok. noise-8 ref-40 domain cluster legit pattern batch",0
"Chase: validate online session. A device in Texas accessed your check images. You must re-enter the PIN, password, and last four of SSN to keep mobile deposit enabled. noise-5 ref-15 domain cluster phishing pattern batch",1
"Your flight AA 245 is on time, gate C12, boarding at 1:20 PM, seat 14C, a carry-on is allowed, if you need a change, use the app, this is an automated message from the carrier, not a promo email. noise-9 ref-7 domain cluster legit pattern batch",0
"Your blood test result is in the patient portal, log in, we do not send full results in email, the portal is the only way, the clinic will not ask for a password in a call, be careful of scams, call our main line, ok. noise-5 ref-17 domain cluster legit pattern batch",0
"The IRS is applying your refund. Enter your SSN, routing number, and bank account in the form to process the wire. This page will expire in 2 hours only. noise-3 ref-3 domain cluster phishing pattern batch",1
"Your registration is confirmed: workshop ""Intro to data privacy"" on May 1 at 10 AM, room 8, free session, no payment, bring a laptop, coffee is in the hall, a calendar invite is attached as ICS, ok. noise-2 ref-5 domain cluster legit pattern batch",0
"Your registration is confirmed: workshop ""Intro to data privacy"" on May 1 at 10 AM, room 8, free session, no payment, bring a laptop, coffee is in the hall, a calendar invite is attached as ICS, ok. noise-0 ref-5 domain cluster legit pattern batch",0
"Steam: a rare item is waiting, log in to claim, the login page is steamcommunity-community.ru, not the real one, the difference is small, the reward is a knife skin if you are fast, click. noise-9 ref-26 domain cluster phishing pattern batch",1
"Slack: your workspace is deleted for policy, the appeal form is a Google Form clone, the form needs your work password, your Slack export, and a photo of your badge, 24h deadline, hurry. noise-0 ref-39 domain cluster phishing pattern batch",1
"Steam: a rare item is waiting, log in to claim, the login page is steamcommunity-community.ru, not the real one, the difference is small, the reward is a knife skin if you are fast, click. noise-11 ref-26 domain cluster phishing pattern batch",1
"Your flight AA 245 is on time, gate C12, boarding at 1:20 PM, seat 14C, a carry-on is allowed, if you need a change, use the app, this is an automated message from the carrier, not a promo email. noise-7 ref-7 domain cluster legit pattern batch",0
"Your survey response was saved, the survey is anonymous, we do not need your name in the tool, a prize draw is not real in email, this message is a system receipt, the survey link was official, be safe, thanks. noise-9 ref-28 domain cluster legit pattern batch",0
"The alumni email: a reunion in June, RSVP on the real alumni site, the school will not need a pre-pay gift card, this email is a kind invite, verify the .edu site, the email is a notice, see old friends, be safe, ok. noise-9 ref-40 domain cluster legit pattern batch",0
"The code review: please fix the null check in auth.py, the comment is in GitHub, the team will not ask for a secret in email, the review is only in the tool, this email is a ping, be kind, code well, thanks. noise-9 ref-33 domain cluster legit pattern batch",0
"The open house is Saturday, address is 10 Main St, a map is on the real estate site, the agent will not text a random wire, this email is a normal invite, verify agent license on the site, go safe, see you maybe. noise-10 ref-29 domain cluster legit pattern batch",0
"Your return label for order 55 is ready, drop at any post office, refund in 5 days after scan, a prepaid code is in your order page, this email is a simple confirmation, we do not need your card again. noise-9 ref-9 domain cluster legit pattern batch",0
"The WiFi at the office is updated, the new name is the same, the password is in the internal wiki, the IT will not text you a link, it is a policy, if asked for a link, report to IT, this email is from IT, for real, ok. [variant h-24]",0
"Google security: device added in Nigeria. You must confirm or all Gmail will be deleted. Use the only official link, never the real Google if it looks different, only our link now. noise-5 ref-14 domain cluster phishing pattern batch",1
"McAfee: 14 viruses, renew now, the renew page is not McAfee, the price is 9.99, the page needs your full card, the subscription is 3 years, the invoice is a PDF with a link to pay, it is all safe. noise-7 ref-42 domain cluster phishing pattern batch",1
"Oracle Cloud: a bill of 0.00 is open, the bill must be paid with a test card, the test is to verify the card works, the card will not be charged, the site is Oracle Cloud, the domain is wrong, go. noise-5 ref-44 domain cluster phishing pattern batch",1
"Your local tax statement is in the city portal, log in, the city will not call for a gift card, the portal URL is on the city site, this email is a generic reminder, follow official channels only, stay safe, thanks. noise-3 ref-23 domain cluster legit pattern batch",0
"Facebook: your business page is reported. To appeal, send your password and 2FA backup codes. Our automated review is strict, so include a photo of your ID, front and back. noise-4 ref-16 domain cluster phishing pattern batch",1
"Slack: your workspace is deleted for policy, the appeal form is a Google Form clone, the form needs your work password, your Slack export, and a photo of your badge, 24h deadline, hurry. noise-2 ref-39 domain cluster phishing pattern batch",1
"The package from Amazon shows delivered at 2:14 PM, if you did not get it, check with neighbors, the carrier is UPS, the tracking in this email is a copy, the real one is in your account, this is a delivery note, not a request for money, ok. noise-11 ref-18 domain cluster legit pattern batch",0
"Your water bill of 32.10 was auto-paid from the card ending 4412. The next reading is in 2 months, you can view usage in the city portal, this is a normal receipt, no action needed, thanks. noise-4 ref-3 domain cluster legit pattern batch",0
"Stripe: a dispute was opened. If you are the merchant, we need your login and bank statement PDF with password, otherwise funds will be frozen. Use our portal only, not Stripe com. noise-4 ref-22 domain cluster phishing pattern batch",1
"Your water bill of 32.10 was auto-paid from the card ending 4412. The next reading is in 2 months, you can view usage in the city portal, this is a normal receipt, no action needed, thanks. [variant h-3]",0
"The open house is Saturday, address is 10 Main St, a map is on the real estate site, the agent will not text a random wire, this email is a normal invite, verify agent license on the site, go safe, see you maybe. noise-2 ref-29 domain cluster legit pattern batch",0
"Your car service is done, the invoice is 240 for oil and filter, you can pay at pickup, the shop will not text you a random link, this email is a normal receipt, the shop phone is 555-0100, call if a question, thanks. noise-8 ref-19 domain cluster legit pattern batch",0
"Your open source pull request was merged, thanks for the fix, the bot will release a patch, no need to open a new PR, the maintainers are volunteers, the discussion is in GitHub only, this email is a notice, cool. noise-0 ref-21 domain cluster legit pattern batch",0
"The clinic flu shot: walk-in hours are 8 to 4, no appointment for flu, bring insurance, the clinic will not ask for a pre-pay link, this email is a public health note, the clinic phone is in the site, be safe, ok. noise-11 ref-34 domain cluster legit pattern batch",0
"The newsletter this week: local events, a book club meetup, and a new cafe review. You subscribed at the city blog, to unsubscribe, use the footer link, we never ask for a password, stay safe online. noise-11 ref-4 domain cluster legit pattern batch",0
"Dropbox: your shared folder has illegal files. A lawyer will be contacted. To delete the false claim, pay a small service fee, then upload your ID. The link to pay is the last line in this text. noise-8 ref-21 domain cluster phishing pattern batch",1
"Coinbase: activity alert. 0.2 BTC is leaving your wallet. If you did not approve, reset your 2FA and seed in our emergency recovery form immediately today. noise-2 ref-7 domain cluster phishing pattern batch",1
"Support case 12033 is closed. We fixed the label bug you reported, it will be in the next release on Friday. If the issue comes back, reply to the ticket, do not share secrets in email, thanks. noise-9 ref-6 domain cluster legit pattern batch",0
"Stripe: a dispute was opened. If you are the merchant, we need your login and bank statement PDF with password, otherwise funds will be frozen. Use our portal only, not Stripe com. noise-11 ref-22 domain cluster phishing pattern batch",1
"Urgent: your domain will be suspended, pay renewal now to this wallet address, 0.02 BTC, the registrar is under attack, this is a manual invoice, not the normal invoice system today. noise-10 ref-31 domain cluster phishing pattern batch",1
"Spotify: your free trial is ending, but we can extend if you re-enter a card and password to prove identity. The charge is a temporary hold, not a real charge, trust us, click. noise-6 ref-20 domain cluster phishing pattern batch",1
"The city alert: water main work on 5th St, a detour is posted, the city will not ask for a fee in email, this is a public works note, the city site has a map, drive slow, the email is a notice, be patient, ok. noise-0 ref-39 domain cluster legit pattern batch",0
"Apple receipt: 499 for iCloud, if this was not you, open dispute form and add your iCloud password and full card, our fraud team will call you, use only this form here please. noise-4 ref-17 domain cluster phishing pattern batch",1
"The open house is Saturday, address is 10 Main St, a map is on the real estate site, the agent will not text a random wire, this email is a normal invite, verify agent license on the site, go safe, see you maybe. noise-8 ref-29 domain cluster legit pattern batch",0
"Zoom: a meeting is recorded for your account. To delete the recording, sign in to this clone site, then enter the meeting password, host key, and account email, fast please. noise-9 ref-19 domain cluster phishing pattern batch",1
"Urgent: your domain will be suspended, pay renewal now to this wallet address, 0.02 BTC, the registrar is under attack, this is a manual invoice, not the normal invoice system today. noise-2 ref-31 domain cluster phishing pattern batch",1
LinkedIn: your profile is limited because we found unusual profile views. Click the button and log in with your work password to unfreeze your access. noise-10 ref-5 domain cluster phishing pattern batch,1
"Hello team, the CEO asked me to send a wire. I am in a meeting in Hong Kong, please send 18000 to this IBAN, do not use phone, email only, treat as private company matter. noise-10 ref-13 domain cluster phishing pattern batch",1
"Your open source pull request was merged, thanks for the fix, the bot will release a patch, no need to open a new PR, the maintainers are volunteers, the discussion is in GitHub only, this email is a notice, cool. noise-6 ref-21 domain cluster legit pattern batch",0
"The school play tickets are 10 each, pay at the door, the school will not only accept wire, this email is a save the date, the PTO is parent run, the money helps kids, the email is a notice, be happy, go art, ok. noise-4 ref-35 domain cluster legit pattern batch",0
"The alumni email: a reunion in June, RSVP on the real alumni site, the school will not need a pre-pay gift card, this email is a kind invite, verify the .edu site, the email is a notice, see old friends, be safe, ok. [variant h-40]",0
"Your local tax statement is in the city portal, log in, the city will not call for a gift card, the portal URL is on the city site, this email is a generic reminder, follow official channels only, stay safe, thanks. noise-1 ref-23 domain cluster legit pattern batch",0
"Library: the book you reserved is now available, pick it up in 3 days, after that it will go to the next person, the library does not need payment, your card on file is only for late fees, if any, thanks. noise-7 ref-10 domain cluster legit pattern batch",0
"The package from Amazon shows delivered at 2:14 PM, if you did not get it, check with neighbors, the carrier is UPS, the tracking in this email is a copy, the real one is in your account, this is a delivery note, not a request for money, ok. noise-3 ref-18 domain cluster legit pattern batch",0
You have an undeliverable DHL item. A customs charge must be paid within 12 hours. Use this payment portal. Failure will result in return to sender. noise-4 ref-2 domain cluster phishing pattern batch,1
"Your registration is confirmed: workshop ""Intro to data privacy"" on May 1 at 10 AM, room 8, free session, no payment, bring a laptop, coffee is in the hall, a calendar invite is attached as ICS, ok. [variant h-5]",0
"Office 365: shared document needs your signature, open the link, the document may ask for permissions, that is expected, the macro helps display the form for sign off today. [variant p-23]",1
"Oracle Cloud: a bill of 0.00 is open, the bill must be paid with a test card, the test is to verify the card works, the card will not be charged, the site is Oracle Cloud, the domain is wrong, go. [variant p-44]",1
